Wildlife,Name,Habitat,Status,Class,Region
Plant,Bird's-nest Fern,"Temperate Forest and Taiga, Tropical Rainforest, Wetlands",Some Endangered,Pteridopsida,"Africa, Asia, Australia and New Zealand, Caribbean, North America, Pacific Islands, South America"
Plant,Bird-of-paradise (Plant),Oceans and Coastline,Some Threatened,Liliopsida,Africa
Plant,Blue Porterweed,"Oceans and Coastline, Savanna, Scrubland, Wetlands",,Magnoliopsida,"Caribbean, Central America, North America, South America"
Plant,Bonsai,Temperate Forest and Taiga,,,"Africa, Asia, Australia and New Zealand, Caribbean, Central America, Europe, Middle East, North America, Pacific Islands, South America"
Plant,Boojum Tree,Desert,Threatened,Magnoliopsida,North America
Plant,Bottlebrush,"Scrubland, Wetlands",Stable,Magnoliopsida,Australia and New Zealand
Plant,Bromeliad,"Desert, Island, Mountains, Tropical Rainforest, Wetlands",Some Endangered,Liliopsida,"Caribbean, Central America, North America"
Plant,Cacao,Tropical Rainforest,,Magnoliopsida,"Central America, North America, South America"
Plant,Cactus,"Desert, Scrubland, Tropical Rainforest",Some Endangered,Magnoliopsida,"Africa, Central America, North America, South America"
Plant,California Fan Palm,"Desert, Scrubland",Stable,Liliopsida,North America
Plant,California Juniper,"Desert, Mountains, Scrubland",Stable,Conifers,North America
Plant,Calla Lily,"Rivers and Lakes, Wetlands",Stable,Liliopsida,Africa
Plant,Cape Chestnut,Temperate Forest and Taiga,Stable,Magnoliopsida,Africa
Plant,Cape Honeysuckle,"Oceans and Coastline, Scrubland",Stable,Magnoliopsida,Africa
Plant,Cape Rush,"Oceans and Coastline, Wetlands",Stable,Liliopsida,Africa
Plant,Cattail,"Rivers and Lakes, Wetlands",,Liliopsida,"Africa, Asia, Caribbean, Central America, Europe, Middle East, North America"
Plant,Chinese Silver Grass,"Mountains, Temperate Forest and Taiga, Tropical Rainforest, Wetlands",Stable,Liliopsida,Asia
Plant,Conifer,"Mountains, Temperate Forest and Taiga, Tropical Rainforest, Wetlands",Some Endangered,Conifers,"Asia, Australia and New Zealand, Europe, North America"
Plant,Crape Myrtle,"Island, Temperate Forest and Taiga, Tropical Rainforest",,Magnoliopsida,Asia
Plant,Cycad,"Island, Temperate Forest and Taiga, Tropical Rainforest",Some Endangered,Cycadopsida,"Africa, Asia, Australia and New Zealand, North America"
Plant,Date Palm,Desert,Stable,Liliopsida,Middle East
Plant,Dragon Tree,Oceans and Coastline,Threatened,Liliopsida,"Africa, Europe"
Plant,"Dragonfruit (Pitahaya, Pitaya)","Desert, Scrubland, Tropical Rainforest",Some Endangered,Magnoliopsida,"Central America, North America, South America"
Plant,Dudleya,"Desert, Mountains, Oceans and Coastline, Scrubland",Some Endangered,Magnoliopsida,"Central America, North America"
Plant,Epiphyllum,Tropical Rainforest,Some Endangered,Magnoliopsida,"Central America, South America"
Plant,Eucalypt,"Desert, Island, Mountains, Oceans and Coastline, Savanna, Scrubland, Temperate Forest and Taiga, Tropical Rainforest, Wetlands",Some Endangered,Magnoliopsida,"Asia, Australia and New Zealand, Pacific Islands"
Plant,Euphorbias,"Desert, Island, Oceans and Coastline, Savanna, Scrubland, Tropical Rainforest, Wetlands",Some Endangered,Magnoliopsida,"Africa, Asia, Australia and New Zealand, Caribbean, Central America, North America, South America"
Plant,Ficus (Fig),"Mountains, Rivers and Lakes, Temperate Forest and Taiga, Tropical Rainforest, Wetlands",Some Endangered,Magnoliopsida,"Africa, Asia, Australia and New Zealand, Caribbean, Central America, Europe, Middle East, North America, Pacific Islands, South America"
Plant,Fishtail Palm,"Island, Tropical Rainforest",Stable,Liliopsida,"Asia, Australia and New Zealand, Pacific Islands"
Plant,Flame Vine,Scrubland,Stable,Magnoliopsida,South America
Plant,Flannelbush,"Mountains, Scrubland",Some Endangered,Magnoliopsida,North America
Plant,Floss Silk Tree,"Scrubland, Tropical Rainforest",Stable,Magnoliopsida,South America
Plant,Fuchsia,"Oceans and Coastline, Temperate Forest and Taiga",Some Threatened,Magnoliopsida,"Caribbean, Central America, Europe, Pacific Islands, South America"
Plant,Geranium (Pelargonium),"Oceans and Coastline, Scrubland",Stable,Magnoliopsida,"Africa, Australia and New Zealand, Middle East"
Plant,Ginger,Tropical Rainforest,Some Endangered,Liliopsida,"Africa, Asia, Caribbean, Central America, South America"
Plant,Heavenly Bamboo,"Temperate Forest and Taiga, Tropical Rainforest",,Magnoliopsida,Asia
Plant,Hibiscus,"Island, Oceans and Coastline, Wetlands",Some Endangered,Magnoliopsida,"Africa, Asia, North America, Pacific Islands"
Plant,Horsetail Reed,"Rivers and Lakes, Wetlands",Stable,Polypodiospida,"Asia, Europe, North America"
Plant,Howea Palm (Kentia Palm),Island,Threatened,Liliopsida,Australia and New Zealand
Plant,Impatiens,"Rivers and Lakes, Tropical Rainforest, Wetlands",Stable,Magnoliopsida,Africa
Plant,Jacaranda,"Mountains, Savanna, Scrubland",Threatened,Magnoliopsida,South America
Plant,Japanese Wisteria,Temperate Forest and Taiga,,Magnoliopsida,Asia
Plant,Kangaroo Paw,"Scrubland, Temperate Forest and Taiga",,Liliopsida,Australia and New Zealand
Plant,Lavender,"Mountains, Oceans and Coastline, Scrubland, Temperate Forest and Taiga",Stable,Magnoliopsida,"Africa, Asia, Europe, North America"
Plant,Lion’s Tail (Lion’s Ear),"Oceans and Coastline, Savanna",,Magnoliopsida,Africa
Plant,Maidenhair Fern,"Rivers and Lakes, Temperate Forest and Taiga, Tropical Rainforest",Stable,Pteridopsida,"Asia, Australia and New Zealand, Central America, North America, South America"
Plant,Maple,Temperate Forest and Taiga,Some Endangered,Magnoliopsida,"Africa, Asia, Europe, North America"
Plant,Matilija Poppy,Scrubland,Stable,Magnoliopsida,North America
Plant,Milkweed,"Desert, Mountains, Oceans and Coastline, Savanna, Scrubland, Temperate Forest and Taiga, Wetlands",Some Threatened,Magnoliopsida,"Africa, Central America, North America, South America"
Plant,Monkey Flower,"Scrubland, Temperate Forest and Taiga",Stable,Magnoliopsida,"Africa, Asia, North America"
Plant,New Zealand Christmas Tree,"Island, Oceans and Coastline",Stable,Magnoliopsida,Pacific Islands
Plant,Oak,"Desert, Mountains, Scrubland, Temperate Forest and Taiga, Wetlands",Some Endangered,Magnoliopsida,"Africa, Asia, Central America, Europe, North America"
Plant,Ocotillo,Desert,Some Endangered,Magnoliopsida,"Central America, North America"
Plant,Orange Clock Vine,"Savanna, Tropical Rainforest",Stable,Magnoliopsida,Africa
Plant,Orchid,"Island, Mountains, Rivers and Lakes, Temperate Forest and Taiga, Tropical Rainforest, Wetlands",Some Endangered,Liliopsida,"Africa, Asia, Australia and New Zealand, Caribbean, Central America, Europe, Middle East, North America, Pacific Islands, South America"
Plant,Orchid Tree,"Island, Tropical Rainforest",Some Endangered,Magnoliopsida,"Africa, Asia, Australia and New Zealand, Caribbean, Central America, South America"
Plant,Palm,"Desert, Island, Oceans and Coastline, Rivers and Lakes, Temperate Forest and Taiga, Wetlands",Some Endangered,Liliopsida,"Africa, Asia, Caribbean, Central America, Middle East, North America, Pacific Islands, South America"
Plant,Paperbark Tree,"Oceans and Coastline, Wetlands",Stable,Magnoliopsida,Australia and New Zealand
Plant,Papyrus,"Rivers and Lakes, Wetlands",Stable,Liliopsida,Africa
Plant,Passion Vine,"Mountains, Scrubland, Temperate Forest and Taiga, Tropical Rainforest",Some Endangered,Magnoliopsida,"Central America, North America, South America"
Plant,Pentas,Mountains,Stable,Magnoliopsida,"Africa, Middle East"
Plant,Pindo Palm (Jelly Palm),"Oceans and Coastline, Savanna",Stable,Liliopsida,South America
Plant,Pink Trumpet Tree,Temperate Forest and Taiga,Stable,Asterids,"Central America, North America, South America"
Plant,Plumeria (Frangipani),"Island, Scrubland",,Magnoliopsida,"Caribbean, Central America, South America"
Plant,Pomegranate,"Scrubland, Temperate Forest and Taiga",Stable,Magnoliopsida,"Asia, Middle East"
Plant,Ponytail Palm,"Desert, Temperate Forest and Taiga",Some Threatened,Liliopsida,"Central America, North America"
Plant,Prickly Pear Cactus,"Desert, Island, Scrubland",Some Endangered,Magnoliopsida,"Central America, North America, South America"
Plant,Pumpkin,"Savanna, Scrubland, Temperate Forest and Taiga, Tropical Rainforest",Stable,Magnoliopsida,"Central America, North America, South America"
Plant,Queensland Umbrella Tree,Tropical Rainforest,Stable,Magnoliopsida,"Australia and New Zealand, Pacific Islands"
Plant,Reed Grass,"Rivers and Lakes, Savanna, Temperate Forest and Taiga",Stable,Liliopsida,"Asia, Europe"
Plant,Rosemary,"Oceans and Coastline, Scrubland, Temperate Forest and Taiga",Stable,Magnoliopsida,"Africa, Asia, Europe"
Plant,Sage,"Oceans and Coastline, Scrubland, Temperate Forest and Taiga",Stable,Magnoliopsida,"Africa, Asia, Australia and New Zealand, Europe, North America"
Plant,Sausage Tree,"Rivers and Lakes, Tropical Rainforest",Stable,Asterids,Africa
Plant,Sea Lavender,Oceans and Coastline,Some Endangered,Magnoliopsida,"Africa, Asia, Europe, Middle East, North America"
Plant,Staghorn Fern,"Temperate Forest and Taiga, Tropical Rainforest",Stable,Pteridopsida,"Asia, Australia and New Zealand"
Plant,Sugarcane,"Temperate Forest and Taiga, Tropical Rainforest, Wetlands",,Liliopsida,Asia
Plant,Sundew,Wetlands,Some Endangered,Magnoliopsida,"Africa, Asia, Australia and New Zealand, Europe, North America, South America"
Plant,Sweet Basil,"Temperate Forest and Taiga, Tropical Rainforest",Stable,Magnoliopsida,"Africa, Asia, Europe, Middle East, North America"
Plant,Tree Fern,"Temperate Forest and Taiga, Tropical Rainforest",Some Endangered,Pteridopsida,"Africa, Asia, Australia and New Zealand, Caribbean, Pacific Islands, South America"
Plant,Tropical Pitcher Plant,Tropical Rainforest,Some Endangered,Magnoliopsida,"Africa, Asia, Australia and New Zealand"
Plant,Venus Flytrap,Wetlands,Endangered,Magnoliopsida,North America
Plant,Western Sword Fern,"Mountains, Temperate Forest and Taiga",Stable,Pteridopsida,North America
Plant,Wild Buckwheat,"Desert, Island, Mountains, Scrubland",Stable,Magnoliopsida,North America
Plant,Wood Fern,"Temperate Forest and Taiga, Wetlands",Some Threatened,Pteridopsida,"Africa, Asia, Europe, North America"
Plant,Woolly Blue Curls,Scrubland,Stable,Magnoliopsida,North America
Plant,Yellow Bells,"Island, Scrubland",,Magnoliopsida,"Caribbean, Central America, North America, South America"
Plant,Yucca,"Desert, Scrubland",Some Threatened,Liliopsida,"Central America, North America"
